sample,MgO,Al2O3,SiO2,S,Cl,K2O,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Rh,Pd,Cd,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Hg,Tl,Pb,Bi,Th,U,section,Ti,Fe,Mn,Ca,P
TG01.21A,0.6710400190649677,0.7091087678071365,2.205216468833834,0.1097,0.2356,0.10701032693261354,,0.001433139089759872,,0.0010893228688416585,0.0008574322424574165,0.0008645396481647299,0.0004,,0.0005,0.0002784890126090278,0.14990153140648116,0.00042217017299571024,0.002373436364835464,,,,,,,,0.0126,0.0233,,,,,,,,,,0.0009,TG01,0.016134257479559825,0.1711836552608388,0.01629524135400483,37.98658349933383,0.019234457203051728
TG01.22B,0.7376564830912493,0.4754391553789509,0.8728979479271559,0.0559,0.1918666666666666,0.043058906672315336,,0.000956471543248596,,0.0010825808840789891,0.001339852946794899,0.0006296264050127461,,,0.0005,4.0732186684604545e-05,0.12875629366913227,,,,,,,,0.0053,0.0033,0.007,,,,,0.0029,,,,,,,TG01,,0.11188409775072566,0.02023516536390523,38.49743131398401,0.017608087543603945
TG01.23A,0.7599245082196187,0.7055864103382393,2.3353029849109883,0.0813,0.2374,0.09590088675203161,,0.0010720273120998142,,0.001096064853604328,0.001253706392448961,0.0005774234620901351,,,0.0003,0.00025471333001660687,0.138433225557238,,0.003755902347754057,0.0008,,,,,,,,,,,,,,,,,,,TG01,0.015340791386105652,0.1408824165782063,0.02079801165103392,38.29385172369335,0.019069717172892155
TG01.23B,0.492903033859506,0.7050491015717976,1.7461207573710311,0.05814,0.2098399999999999,0.11336579238656992,,0.0012020275520574352,,0.001023251418167425,0.0012847191520135109,0.00032684933606135256,,,0.0004,0.00048295988290407595,0.12957119319655175,,0.006175217817861591,,,,0.0013,,,0.0031,0.007575,,,,,0.0029,,,,,,,TG01,0.026052583647736927,0.29919720143957207,0.02223771320653128,37.49426697785234,0.015000287917248013
TG01.24A,0.7410046242641475,0.6241542817352642,2.9497007633492056,0.09415,0.2340999999999999,0.09925536057279165,,0.0009998049565678028,,0.0010657259221722852,0.0013053943250565445,0.00022505359736215948,,,0.0004,0.0002903768539052739,0.1100873669957089,,0.005656793074267119,0.0006,,,,,,0.0037,,,,,,,,,,,,,TG01,0.01944036620228548,0.25523869001883587,0.020087047919923978,38.00897433297516,0.019563937263370895
TG01.25B,0.9192498467920085,0.656213704799632,2.802213578849947,0.0673666666666666,0.2037333333333333,0.09175288148980128,,0.0009998049565678028,,0.0011028068383670177,0.0009952667294110423,0.0006557278764741296,,0.0005,0.0006,0.00044491879075611693,0.11077230409849677,0.00040335318565393804,0.0016822033733761683,,,,,0.0018,0.0033,0.0032,,,,,,,,0.0014,,,0.0012,,TG01,,0.21474794990488816,0.021064623050200112,37.464016153951974,0.015813472746971893
TG01.26B,0.6150452442768448,0.35754963195665745,1.0042619814327676,0.0884666666666666,0.1480333333333333,0.04201288795401388,,0.0014427687371641306,,0.0010893228688416585,0.0008918908641958746,0.00026420580455407847,,,0.00035,5.068662795866205e-06,0.11266905299852473,0.00042217017299571024,,,,,,,0.0034,,,,,,,,,,,,,,TG01,,0.08692817129435693,0.01706545206270711,35.30164244551817,0.013724428960267415
TG01.27A,1.0783587107195989,0.8573462863710571,1.19749750556837,0.08745,0.3092499999999999,0.09460238075689868,,0.0020109179340159645,,0.001096064853604328,0.005853932394523913,0.0003033580117461541,,,0.0003,0.00021904980612793981,0.11161530360962031,,,,,,,,0.0038,,0.0071,,,,,,,,,,,,TG01,0.020994237301966635,0.20873447365034148,0.018087462426177613,38.14857765799594,0.017587056901455917
TG01.27B,0.5318035275299657,0.43305146380408843,1.1158024686347154,0.0417333333333333,0.1258333333333333,0.08107627664093024,,0.0008553602455037797,,0.001055612945028291,0.0013743115685332537,0.0006035249335514406,,,0.0004,0.0003498160603863619,0.10792718074845482,,,,,,,,,,,0.0228,,,,,,,,,,0.0012,TG01,0.02400279623964704,0.20749837019801795,0.01946495465520295,35.566723796056166,0.01758705690145589
TG01.28B,0.413233148751818,0.35468398520230016,2.539463485676164,0.0227,0.2203666666666666,0.036151576170427566,,0.0016353616852495042,,0.0010387579831215871,0.0009125660372389082,0.000420814633322146,,0.0005,0.0005,1.6956504092112336e-05,0.09068081575005231,,,0.0007,,,,,0.0057,0.0036,0.0079,0.0177,0.0194,,,,,,0.0021,,,,TG01,,0.1783497144641736,0.031195856218515502,38.591548425153256,0.017026239777508393
TG01.29A,0.2289987943845056,0.24803814522592094,2.4175707020711923,0.04975,0.2385,0.028432679421581685,,0.0016353616852495042,,0.0011365167621804056,0.0013053943250565445,0.00018590139017016222,,,0.0005,7.63957105732716e-05,0.08975000378985344,,,,,,0.0014,,0.0061,,,0.0231,,,,,,,,,,,TG01,,0.21389604076882743,0.03257334844754084,38.598112737088,0.012897223702444819
TG01.29B,0.30164768517919854,0.27436627478157505,2.338518804644693,0.1090666666666666,0.3396999999999999,0.023400968690441486,,0.001346472263121458,,0.0010016770669268745,0.001167559838102919,0.00018590139017016222,,,0.0006,-3.059486109272951e-05,0.09268293958897073,,,,,,0.0011,0.0012,0.00615,,0.007,,0.0269,,,,,,,,,,TG01,,0.1980772573992281,0.03178832599444032,38.77137964085273,0.012806090919803356
TG01.2A,0.4769632841807739,0.4977673196733151,0.8880519477681794,0.0938,0.3424999999999999,0.10091456267768385,,0.0015679541534196076,,0.00106909691455363,0.0013743115685332537,0.00010759697578616758,,,0.0004333333333333,0.00018338628223927276,0.17975776409210656,,,,,,,,,,,,,,,,,,,,,,TG01,,0.11362132422426144,0.02032403583029396,38.06772664319747,0.013437010184244307
TG01.30A,0.9764424479480212,0.746362175613776,6.919828460071615,0.1129,0.21275,0.11164527194301872,,0.0010286938987806072,,0.0011769686707564426,0.026425729572342238,0.0003033580117461541,,,,0.00043303094945994214,0.1100873669957089,0.0005915230590716596,,,,,0.0012,0.0013,,,,,,,,,,,,,0.0009,,TG01,0.02033301555742149,0.21409648997731226,0.01915390802284239,35.460595025090086,0.014085454983808638
TG01.32A,0.757456697268905,0.2441575819127294,1.962488157426752,0.105,0.3778,0.0732852406701326,,0.0009709160143549981,,0.0010151610364522135,0.002649280572853722,,,,0.0004,-3.059486109272951e-05,0.09486068832603992,0.00042217017299571024,,,,,,,,,,,,,,,,,,,,,TG01,,0.2652611504430803,0.032084560882402816,38.39391452054171,0.016745831215534645
